,0,1
315,"Cell,-The","https://www.imsdb.com/scripts/Cell,-The.html"
316,Cellular,https://www.imsdb.com/scripts/Cellular.html
317,"Change-Up,-The","https://www.imsdb.com/scripts/Change-Up,-The.html"
318,Changeling,https://www.imsdb.com/scripts/Changeling.html
319,Chaos,https://www.imsdb.com/scripts/Chaos.html
320,Charade,https://www.imsdb.com/scripts/Charade.html
321,Charlie's-Angels,https://www.imsdb.com/scripts/Charlie's-Angels.html
322,Chasing-Amy,https://www.imsdb.com/scripts/Chasing-Amy.html
323,Chasing-Sleep,https://www.imsdb.com/scripts/Chasing-Sleep.html
324,Cherry-Falls,https://www.imsdb.com/scripts/Cherry-Falls.html
325,Chinatown,https://www.imsdb.com/scripts/Chinatown.html
326,Christ-Complex,https://www.imsdb.com/scripts/Christ-Complex.html
327,Chronicle,https://www.imsdb.com/scripts/Chronicle.html
328,"Chronicles-of-Narnia:-The-Lion,-the-Witch-and-the-Wardrobe","https://www.imsdb.com/scripts/Chronicles-of-Narnia:-The-Lion,-the-Witch-and-the-Wardrobe.html"
329,"Cider-House-Rules,-The","https://www.imsdb.com/scripts/Cider-House-Rules,-The.html"
330,"Cincinnati-Kid,-The","https://www.imsdb.com/scripts/Cincinnati-Kid,-The.html"
331,Cinema-Paradiso,https://www.imsdb.com/scripts/Cinema-Paradiso.html
332,Cirque-du-Freak:-The-Vampire's-Assistant,https://www.imsdb.com/scripts/Cirque-du-Freak:-The-Vampire's-Assistant.html
333,Citizen-Kane,https://www.imsdb.com/scripts/Citizen-Kane.html
334,City-of-Joy,https://www.imsdb.com/scripts/City-of-Joy.html
335,Clash-of-the-Titans,https://www.imsdb.com/scripts/Clash-of-the-Titans.html
336,Clerks,https://www.imsdb.com/scripts/Clerks.html
337,Cliffhanger,https://www.imsdb.com/scripts/Cliffhanger.html
338,"Clockwork-Orange,-A","https://www.imsdb.com/scripts/Clockwork-Orange,-A.html"
339,Clueless,https://www.imsdb.com/scripts/Clueless.html
340,Cobb,https://www.imsdb.com/scripts/Cobb.html
341,Coco,https://www.imsdb.com/scripts/Coco.html
342,Code-of-Silence,https://www.imsdb.com/scripts/Code-of-Silence.html
343,Cold-Mountain,https://www.imsdb.com/scripts/Cold-Mountain.html
344,Collateral,https://www.imsdb.com/scripts/Collateral.html
345,Collateral-Damage,https://www.imsdb.com/scripts/Collateral-Damage.html
346,Colombiana,https://www.imsdb.com/scripts/Colombiana.html
347,Color-of-Night,https://www.imsdb.com/scripts/Color-of-Night.html
348,Commando,https://www.imsdb.com/scripts/Commando.html
349,Conan-the-Barbarian,https://www.imsdb.com/scripts/Conan-the-Barbarian.html
350,Confessions-of-a-Dangerous-Mind,https://www.imsdb.com/scripts/Confessions-of-a-Dangerous-Mind.html
351,Confidence,https://www.imsdb.com/scripts/Confidence.html
352,Constantine,https://www.imsdb.com/scripts/Constantine.html
353,Contact,https://www.imsdb.com/scripts/Contact.html
354,"Cooler,-The","https://www.imsdb.com/scripts/Cooler,-The.html"
355,Copycat,https://www.imsdb.com/scripts/Copycat.html
356,Coraline,https://www.imsdb.com/scripts/Coraline.html
357,Coriolanus,https://www.imsdb.com/scripts/Coriolanus.html
358,Courage-Under-Fire,https://www.imsdb.com/scripts/Courage-Under-Fire.html
359,Cowboys-&-Aliens,https://www.imsdb.com/scripts/Cowboys-&-Aliens.html
360,Cradle-2-the-Grave,https://www.imsdb.com/scripts/Cradle-2-the-Grave.html
361,Crank,https://www.imsdb.com/scripts/Crank.html
362,Crash,https://www.imsdb.com/scripts/Crash.html
363,"Crazy,-Stupid,-Love","https://www.imsdb.com/scripts/Crazy,-Stupid,-Love.html"
364,Crazylove,https://www.imsdb.com/scripts/Crazylove.html
365,Creation,https://www.imsdb.com/scripts/Creation.html
366,Crime-Spree,https://www.imsdb.com/scripts/Crime-Spree.html
367,"Croods,-The","https://www.imsdb.com/scripts/Croods,-The.html"
368,"Crouching-Tiger,-Hidden-Dragon","https://www.imsdb.com/scripts/Crouching-Tiger,-Hidden-Dragon.html"
369,Croupier,https://www.imsdb.com/scripts/Croupier.html
370,"Crow-Salvation,-The","https://www.imsdb.com/scripts/Crow-Salvation,-The.html"
371,"Crow,-The","https://www.imsdb.com/scripts/Crow,-The.html"
372,"Crow:-City-of-Angels,-The","https://www.imsdb.com/scripts/Crow:-City-of-Angels,-The.html"
373,Cruel-Intentions,https://www.imsdb.com/scripts/Cruel-Intentions.html
374,Crying-Game,https://www.imsdb.com/scripts/Crying-Game.html
375,Cube,https://www.imsdb.com/scripts/Cube.html
376,"Curious-Case-of-Benjamin-Button,-The","https://www.imsdb.com/scripts/Curious-Case-of-Benjamin-Button,-The.html"
377,Custody,https://www.imsdb.com/scripts/Custody.html
378,Dallas-Buyers-Club,https://www.imsdb.com/scripts/Dallas-Buyers-Club.html
379,"Damned-United,-The","https://www.imsdb.com/scripts/Damned-United,-The.html"
380,Dances-with-Wolves,https://www.imsdb.com/scripts/Dances-with-Wolves.html
381,Dark-City,https://www.imsdb.com/scripts/Dark-City.html
382,"Dark-Knight-Rises,-The","https://www.imsdb.com/scripts/Dark-Knight-Rises,-The.html"
383,"Dark-Knight,-The","https://www.imsdb.com/scripts/Dark-Knight,-The.html"
384,Dark-Star,https://www.imsdb.com/scripts/Dark-Star.html
385,Darkman,https://www.imsdb.com/scripts/Darkman.html
386,Date-Night,https://www.imsdb.com/scripts/Date-Night.html
387,Dave-Barry's-Complete-Guide-to-Guys,https://www.imsdb.com/scripts/Dave-Barry's-Complete-Guide-to-Guys.html
388,Dawn-of-the-Dead,https://www.imsdb.com/scripts/Dawn-of-the-Dead.html
389,Day-of-the-Dead,https://www.imsdb.com/scripts/Day-of-the-Dead.html
390,"Day-the-Clown-Cried,-The","https://www.imsdb.com/scripts/Day-the-Clown-Cried,-The.html"
391,"Day-the-Earth-Stood-Still,-The","https://www.imsdb.com/scripts/Day-the-Earth-Stood-Still,-The.html"
392,Days-of-Heaven,https://www.imsdb.com/scripts/Days-of-Heaven.html
393,Dead-Poets-Society,https://www.imsdb.com/scripts/Dead-Poets-Society.html
394,Deadpool,https://www.imsdb.com/scripts/Deadpool.html
395,Dear-White-People,https://www.imsdb.com/scripts/Dear-White-People.html
396,Death-at-a-Funeral,https://www.imsdb.com/scripts/Death-at-a-Funeral.html
397,Death-to-Smoochy,https://www.imsdb.com/scripts/Death-to-Smoochy.html
398,"Debt,-The","https://www.imsdb.com/scripts/Debt,-The.html"
399,Deception,https://www.imsdb.com/scripts/Deception.html
400,Deep-Cover,https://www.imsdb.com/scripts/Deep-Cover.html
401,Deep-Rising,https://www.imsdb.com/scripts/Deep-Rising.html
402,"Deer-Hunter,-The","https://www.imsdb.com/scripts/Deer-Hunter,-The.html"
403,Defiance,https://www.imsdb.com/scripts/Defiance.html
404,"Departed,-The","https://www.imsdb.com/scripts/Departed,-The.html"
405,"Descendants,-The","https://www.imsdb.com/scripts/Descendants,-The.html"
406,Despicable-Me-2,https://www.imsdb.com/scripts/Despicable-Me-2.html
407,Detroit-Rock-City,https://www.imsdb.com/scripts/Detroit-Rock-City.html
408,Devil-in-a-Blue-Dress,https://www.imsdb.com/scripts/Devil-in-a-Blue-Dress.html
409,"Devil-Wears-Prada,-The","https://www.imsdb.com/scripts/Devil-Wears-Prada,-The.html"
410,Devil's-Advocate,https://www.imsdb.com/scripts/Devil's-Advocate.html
411,Die-Hard,https://www.imsdb.com/scripts/Die-Hard.html
412,Die-Hard-2,https://www.imsdb.com/scripts/Die-Hard-2.html
413,Diner,https://www.imsdb.com/scripts/Diner.html
414,"Distinguished-Gentleman,-The","https://www.imsdb.com/scripts/Distinguished-Gentleman,-The.html"
415,Disturbia,https://www.imsdb.com/scripts/Disturbia.html
416,Django-Unchained,https://www.imsdb.com/scripts/Django-Unchained.html
417,Do-The-Right-Thing,https://www.imsdb.com/scripts/Do-The-Right-Thing.html
418,Dog-Day-Afternoon,https://www.imsdb.com/scripts/Dog-Day-Afternoon.html
419,Dogma,https://www.imsdb.com/scripts/Dogma.html
420,Donnie-Brasco,https://www.imsdb.com/scripts/Donnie-Brasco.html
421,Donnie-Darko,https://www.imsdb.com/scripts/Donnie-Darko.html
422,"Doors,-The","https://www.imsdb.com/scripts/Doors,-The.html"
423,Double-Indemnity,https://www.imsdb.com/scripts/Double-Indemnity.html
424,Drag-Me-to-Hell,https://www.imsdb.com/scripts/Drag-Me-to-Hell.html
425,Dragonslayer,https://www.imsdb.com/scripts/Dragonslayer.html
426,Drive,https://www.imsdb.com/scripts/Drive.html
427,Drive-Angry,https://www.imsdb.com/scripts/Drive-Angry.html
428,Drop-Dead-Gorgeous,https://www.imsdb.com/scripts/Drop-Dead-Gorgeous.html
429,"Dry-White-Season,-A","https://www.imsdb.com/scripts/Dry-White-Season,-A.html"
430,Duck-Soup,https://www.imsdb.com/scripts/Duck-Soup.html
431,Dumb-and-Dumber,https://www.imsdb.com/scripts/Dumb-and-Dumber.html
432,Dune,https://www.imsdb.com/scripts/Dune.html
433,E.T.,https://www.imsdb.com/scripts/E.T..html
434,Eagle-Eye,https://www.imsdb.com/scripts/Eagle-Eye.html
435,Eastern-Promises,https://www.imsdb.com/scripts/Eastern-Promises.html
436,Easy-A,https://www.imsdb.com/scripts/Easy-A.html
437,Ed-TV,https://www.imsdb.com/scripts/Ed-TV.html
438,Ed-Wood,https://www.imsdb.com/scripts/Ed-Wood.html
